id,dateAdded,dateUpdated,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,State
AVzA-pVeFcQ3k02bBalo,2017-06-19T15:31:06Z,2019-04-15T07:09:13Z,289 W Main St,"Italian Restaurant,Pizza Place",Accommodation & Food Services,Leola,US,us/pa/leola/289wmainst/1100633463,40.085942,-76.20824,,7.5,7.5,USD,"2018-02-26T12:33:14.302Z,2018-01-20T18:03:43.533Z,2018-01-27T18:10:19.893Z,2018-01-19T08:14:35.154Z,2018-01-11T14:25:13.279Z,2017-12-16T15:36:16.893Z,2017-12-07T16:35:02.533Z,2017-10-22T02:52:41.105Z,2017-10-26T10:20:28.237Z",,Cheese Pizza,Rosarios Pronto Pizza Italian Restaurant,17540,USD,0,25,PA
AVwd5i6yByjofQCxtena,2016-03-31T02:30:20Z,2019-04-15T07:08:39Z,3938 S Zarzamora St,"Pizza,Restaurant,Pizza Place Palm Heights,Pizza Place,Restaurants",Accommodation & Food Services,San Antonio,US,us/tx/sanantonio/3938szarzamorast/-1026443824,29.385755,-98.532876,,9.99,9.99,USD,"2018-04-14T07:15:11.836Z,2018-04-02T23:23:01.638Z,2018-06-04T13:38:11.135Z,2018-06-17T19:20:02.105Z,2018-01-29T21:59:07.172Z,2018-05-11T09:15:34.209Z,2018-04-26T20:36:10.842Z,2018-02-17T00:41:56.820Z",,Cheese Pizza,Alamo Pizza,78225,USD,0,25,TX
AV4rAwqWRxPSIh2RexIM,2017-08-28T22:42:53Z,2019-04-15T07:06:50Z,407 N Enola Rd,Pizza Place,Accommodation & Food Services,Enola,US,us/pa/enola/407nenolard/-58112493,40.299281,-76.929266,,6.5,6.5,USD,"2017-12-21T02:21:52.531Z,2018-01-18T22:00:28.919Z,2017-12-11T18:28:50.721Z,2018-01-19T04:19:31.312Z,2018-04-06T02:25:36.826Z,2018-03-05T08:30:19.373Z,2018-01-19T04:30:52.360Z",,Cheese Pizza,Als Pizza Subs,17025,USD,0,25,PA
AVwd43zB_7pvs4fz-J-O,2016-04-01T06:55:30Z,2019-04-15T07:04:14Z,11865 E Colonial Dr,Pizza Place,Accommodation & Food Services,Orlando,US,us/fl/orlando/11865ecolonialdr/1819464538,28.568121,-81.20589,,8.95,8.95,USD,"2018-01-23T23:15:08.189Z,2018-01-14T15:33:01.510Z,2018-02-26T21:32:00.870Z,2016-04-01T06:55:30Z,2018-01-19T12:18:59.800Z,2018-01-23T15:13:52.449Z,2017-12-18T14:32:47.660Z,2017-12-09T21:41:20.413Z,2018-04-05T05:33:21.689Z",,Cheese Pizza,Goodfellas Pizza,32826,USD,0,25,FL
AVwcjGi8IN2L1WUfmLki,2016-03-28T05:59:46Z,2019-04-15T06:49:37Z,2490 W State Route 89A,"Pizza,Restaurant,Caterers,Pizza Place,Restaurants",Accommodation & Food Services,Sedona,US,us/az/sedona/2490wstateroute89a/1931569744,34.863223,-111.803756,http://www.yellowpages.com/sedona-az/mip/moon-dogs-pizza-12647466/menu?lid=12647466,10.5,10.5,USD,"2017-12-20T00:12:00.000Z,2018-03-04T01:48:24.592Z,2017-12-20T00:11:38.606Z,2018-02-23T05:16:28.082Z,2018-01-18T18:20:11.587Z,2017-12-10T19:28:00.000Z,2018-04-05T16:24:53.125Z,2018-01-17T11:51:49.067Z",,Cheese Pizza,Moon Dogs Pizza,86336,USD,0,25,AZ
AVwco0fVByjofQCxghm_,2015-10-23T02:56:25Z,2019-04-15T06:49:35Z,1265 S State St,Pizza Place,Accommodation & Food Services,Hemet,US,us/ca/hemet/1265sstatest/643688721,33.72854,-116.973359,,12,12,USD,"2016-04-01T07:07:48Z,2015-10-23T02:56:25Z",12 slice,Cheese Pizza,The Big Cheese Pizza Co,92543,USD,0,25,CA
AWEKUAPb3-Khe5l_eb_-,2018-01-18T17:23:49Z,2019-04-15T06:38:43Z,219 N Main St Ste B,"Pizza,Take Out Restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Crown Point,US,us/in/crownpoint/219nmainststeb/572757474,41.421409,-87.365079,,7,7,USD,"2018-01-19T11:29:39.600Z,2018-01-18T10:34:32.406Z,2018-01-18T15:24:18.479Z",,Cheese Pizza,Papa Johns Pizza,46307,USD,0,25,IN
AWEHt_r9IxWefVJwwUiR,2018-01-18T05:19:19Z,2019-04-15T06:23:16Z,1918 201st Pl SE,"Burger Joint,Pizza Place",Accommodation & Food Services,Bothell,US,us/wa/bothell/1918201stplse/745647468,47.814792,-122.207248,,5,5,USD,"2018-04-04T21:26:06.258Z,2018-01-22T17:46:27.472Z,2018-01-14T14:49:58.489Z",,Cheese Pizza,The Rock Wood Fired Pizza,98012,USD,25,40,WA
AVyoBfNhYuCoGd6wM5za,2017-06-14T19:13:01Z,2019-04-15T06:22:52Z,3424 30th Ave,"Restaurant,Pizza Place",Accommodation & Food Services,Astoria,US,us/ny/astoria/342430thave/-565069298,40.765323,-73.918233,,12,12,USD,"2018-02-17T04:57:17.756Z,2018-01-22T09:01:45.765Z,2018-01-25T20:57:24.156Z,2018-01-21T23:55:38.828Z,2017-12-18T01:44:47.924Z,2017-12-09T11:42:32.027Z,2017-10-28T15:52:37.401Z",,Cheese Pizza,Grand Avenue Pizza,11103,USD,0,25,NY
AVwdNFxqByjofQCxmm8Q,2015-10-23T02:01:33Z,2019-04-15T06:13:48Z,238 Saw Mill River Rd,Pizza Place,Accommodation & Food Services,Millwood,US,us/ny/millwood/238sawmillriverrd/735034309,41.18839,-73.802983,,13.95,13.95,USD,"2018-01-23T03:52:23.456Z,2018-01-23T03:52:23.518Z,2018-01-17T17:26:46.352Z,2018-01-17T17:26:46.376Z",,Cheese Pizza,Tonino Pizzeria Contorni,10546,USD,0,25,NY
AVzdAmzL3D1zeR_xB5dX,2017-06-25T02:09:02Z,2019-04-15T06:10:48Z,529 2nd St,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Hudson,US,us/wi/hudson/5292ndst/-407033482,44.975726,-92.757675,,8.5,8.5,USD,"2018-02-18T21:22:31.427Z,2018-01-18T17:31:57.463Z,2018-01-19T00:22:45.363Z,2018-01-18T17:55:11.381Z,2017-12-21T10:21:22.159Z,2017-12-11T23:58:57.191Z",,Cheese Pizza,Dough Boys Pizza,54016,USD,0,25,WI
AVwefwKxIN2L1WUf5el3,2016-03-29T05:07:34Z,2019-04-15T06:08:51Z,4131 NW 16th Blvd,Pizza Place,Accommodation & Food Services,Gainesville,US,us/fl/gainesville/4131nw16thblvd/-1740778871,29.673127,-82.388085,,14.95,14.95,USD,"2018-01-19T05:43:06.587Z,2018-01-19T06:35:18.425Z,2018-01-19T18:34:02.003Z,2018-01-19T16:38:13.111Z,2018-01-09T22:40:43.852Z,2017-12-14T21:29:10.341Z,2017-12-06T05:21:23.336Z",,Cheese Pizza,Leonardos Pizza,32605,USD,25,40,FL
AVwefwKxIN2L1WUf5el3,2016-03-29T05:07:34Z,2019-04-15T06:08:51Z,4131 NW 16th Blvd,Pizza Place,Accommodation & Food Services,Gainesville,US,us/fl/gainesville/4131nw16thblvd/-1740778871,29.673127,-82.388085,,11.45,11.45,USD,"2018-01-19T05:43:06.587Z,2018-01-19T06:35:18.423Z,2018-01-19T18:34:02.002Z,2018-01-19T16:38:13.110Z,2018-01-09T22:40:43.851Z,2017-12-14T21:29:10.341Z,2017-12-06T05:21:23.335Z",,Cheese Pizza,Leonardos Pizza,32605,USD,25,40,FL
AVwefwKxIN2L1WUf5el3,2016-03-29T05:07:34Z,2019-04-15T06:08:51Z,4131 NW 16th Blvd,Pizza Place,Accommodation & Food Services,Gainesville,US,us/fl/gainesville/4131nw16thblvd/-1740778871,29.673127,-82.388085,,17.35,17.35,USD,"2018-01-19T05:43:06.587Z,2018-01-19T06:35:18.424Z,2018-01-19T18:34:02.002Z,2018-01-19T16:38:13.111Z,2018-01-09T22:40:43.851Z,2017-12-14T21:29:10.341Z,2017-12-06T05:21:23.336Z,2016-03-29T05:07:34Z",,Cheese Pizza,Leonardos Pizza,32605,USD,25,40,FL
AVzA3CVE-gnIPe8DSdsE,2017-06-19T14:57:51Z,2019-04-15T06:03:15Z,95 Beekman Ave,Pizza Place,Accommodation & Food Services,Tarrytown,US,us/ny/tarrytown/95beekmanave/-1907507678,41.084046,-73.863171,,13.95,13.95,USD,"2018-01-20T00:57:39.025Z,2017-12-17T22:51:00.000Z,2017-12-09T00:08:00.000Z,2017-10-27T14:27:00.000Z",,Cheese Pizza,Hollywood North Pizza,10591,USD,0,25,NY
AVwclvN5kufWRAb5w2wR,2016-03-21T00:04:58Z,2019-04-15T06:01:53Z,1010 E Grand River Ave,Pizza Place,Accommodation & Food Services,East Lansing,US,us/mi/eastlansing/1010egrandriverave/1425845217,42.731341,-84.470843,,11.49,11.49,USD,"2018-02-27T12:00:26.555Z,2018-01-21T16:03:59.647Z,2018-01-27T21:14:08.115Z,2018-01-18T19:47:53.681Z,2018-01-18T16:42:54.552Z,2018-01-15T18:47:32.442Z,2017-12-19T05:14:36.490Z,2017-12-10T04:05:48.106Z,2017-10-22T02:50:06.242Z",,Cheese Pizza,Georgios Pizza,48823,USD,0,25,MI
AVwclvN5kufWRAb5w2wR,2016-03-21T00:04:58Z,2019-04-15T06:01:53Z,1010 E Grand River Ave,Pizza Place,Accommodation & Food Services,East Lansing,US,us/mi/eastlansing/1010egrandriverave/1425845217,42.731341,-84.470843,,11.99,11.99,USD,"2016-06-20T17:22:11Z,2016-03-21T00:04:58Z",,Cheese Pizza,Georgios Pizza,48823,USD,0,25,MI
